D_box,flux_sensitivity,avg_ipr_mid,avg_xi_mid,rho_zero,avg_horizon_weight_mid,avg_xbar_mid,charge_stiffness,half_bandwidth,scenario,x0,L,r_h,Nx,Nphi,ax,Nalpha,nu
1.9725694289291178,0.027718440710398935,0.6250414905707116,0.14036161601964603,0.7433386546054292,0.4053047272371807,1.92076059997912,0.08439920173106372,1.6981665583228682,full_exterior,0.0,20.0,0.6,48,48,0.1,141,0.0
1.9155500466743836,0.013567046508670702,0.5569717044092318,0.2681172100252545,0.2801038396802904,0.5355502191023301,1.2502300970646325,0.005889804304751098,7.836418229070927,full_exterior,0.0,8.0,1.0,48,48,0.1,141,0.0
1.9200828564571235,0.016753991656213878,0.5762345656357005,0.24029850118639323,0.38343591441018154,0.516001652877872,1.3655983692276592,0.009732696844147773,5.31355135450433,full_exterior,0.0,10.0,1.0,48,48,0.1,141,0.0
1.938769510480699,0.019751100825299434,0.5887635233781461,0.21777165924122732,0.4948732550736272,0.4989829834178687,1.4689052607269204,0.014421639480878018,3.8970804239917154,full_exterior,0.0,12.0,1.0,48,48,0.1,141,0.0
1.9537127819741174,0.022371305910893695,0.6042542058073425,0.1942386958250533,0.6070819501948138,0.49283174470629587,1.5380401226464202,0.01987537436075201,3.015327057294693,full_exterior,0.0,14.0,1.0,48,48,0.1,141,0.0
1.9572758493450797,0.024509200113490358,0.6156534156005237,0.17371286456927884,0.7297498394090433,0.48548785206032585,1.6049529979212211,0.026013846370196488,2.4251121161439393,full_exterior,0.0,16.0,1.0,48,48,0.1,141,0.0
1.9631569637447486,0.026135361467437095,0.6290268593024317,0.1540366957840906,0.8539084318521145,0.4821225932354644,1.6545215422820956,0.03276078908166925,2.0081894330959047,full_exterior,0.0,18.0,1.0,48,48,0.1,141,0.0
1.9728993426577508,0.027288910891891623,0.642532014700707,0.13601147866615962,0.9696428129455135,0.4766578342766174,1.698720255675284,0.04004524168781364,1.7011953169021639,full_exterior,0.0,20.0,1.0,48,48,0.1,141,0.0
1.9088361830283687,0.012679613874812994,0.4727530939903287,0.3012311837919954,0.3368321766652891,0.5978500283999804,1.0685519720333208,0.002535563303640203,7.957987656387537,full_exterior,0.0,8.0,1.5,48,48,0.1,141,0.0
1.9277232388309018,0.015748599471248723,0.5157906699823291,0.26088396058241803,0.45283825483609824,0.573175382380462,1.1773267597777717,0.004360056104713795,5.382879761231351,full_exterior,0.0,10.0,1.5,48,48,0.1,141,0.0
1.9313855410493883,0.018689400081123655,0.5461381540574572,0.23145481009181137,0.5765813683314541,0.5572565210252938,1.2757171272586527,0.006636935699251845,3.939340737606922,full_exterior,0.0,12.0,1.5,48,48,0.1,141,0.0
1.9509414595497876,0.021315065223223146,0.5678259935549319,0.20818610792189032,0.7033416939567078,0.5446286080029443,1.3569400348474647,0.00933228689757202,3.0420534603151874,full_exterior,0.0,14.0,1.5,48,48,0.1,141,0.0
1.957480757676112,0.02352678520766548,0.5895966661232813,0.18433466311314337,0.8396726320824806,0.5395263595373209,1.4137610510690666,0.012412456027011704,2.442266445715016,full_exterior,0.0,16.0,1.5,48,48,0.1,141,0.0
1.9607706819208912,0.02527937005380015,0.6059798050908254,0.16491146264361353,0.9777072196042562,0.5335373084088046,1.4718634943557536,0.015845496648712782,2.0191304316176235,full_exterior,0.0,18.0,1.5,48,48,0.1,141,0.0
1.9688809063298347,0.02657972626381003,0.621495749119795,0.14695766125117865,1.1157635741335596,0.5278558771781323,1.518880964397187,0.019601693286468158,1.7079415636340038,full_exterior,0.0,20.0,1.5,48,48,0.1,141,0.0
1.8888217461771133,0.011536323131692304,0.33938245315603915,0.4275875684724697,0.3628385743080728,0.6579850032915547,0.91568854707264,0.0012106555453624296,8.127378202718694,full_exterior,0.0,8.0,2.0,48,48,0.1,141,0.0
1.9244343358416673,0.01446468331224926,0.3994186662015253,0.3384088687751019,0.5169991773288478,0.6133144476921202,1.038902793688355,0.002189286588534912,5.4805345159943055,full_exterior,0.0,10.0,2.0,48,48,0.1,141,0.0
1.9213862064478844,0.017320424545355265,0.4495435606567333,0.2826650565784234,0.6712250181851409,0.5947789440058421,1.1246332337767682,0.0034425028196539663,3.999691010704092,full_exterior,0.0,12.0,2.0,48,48,0.1,141,0.0
1.9460102265947685,0.019946589057897986,0.48740636597656495,0.24686849718489695,0.8193216642939224,0.5795967793038331,1.205230944178486,0.004954272881428955,3.080909994430427,full_exterior,0.0,14.0,2.0,48,48,0.1,141,0.0
